dataset,condition,trial,oddity_index,images
banktrial,chair_cluster0,chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_0,0,"['chair_7ee09fdece7d9142afdb9a672b7d3b8a_014.png', 'chair_cb78334a5ad9517d7a31dd5af93fdb5c_007.png', 'chair_cb78334a5ad9517d7a31dd5af93fdb5c_004.png']"
banktrial,chair_cluster0,chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_1,1,"['chair_cb78334a5ad9517d7a31dd5af93fdb5c_006.png', 'chair_6a7050042fbc77d5635418e95eea8a17_000.png', 'chair_cb78334a5ad9517d7a31dd5af93fdb5c_000.png']"
banktrial,chair_cluster0,chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_2,2,"['chair_cb78334a5ad9517d7a31dd5af93fdb5c_010.png', 'chair_cb78334a5ad9517d7a31dd5af93fdb5c_011.png', 'chair_5ab67b30e17a2ed1c862eec8232fff1e_011.png']"
banktrial,chair_cluster0,chair_c0_30d2d3c887f9592551ae1a6e89264401_0,1,"['chair_30d2d3c887f9592551ae1a6e89264401_009.png', 'chair_2bd045838a2282ab5205884f75aba3a_010.png', 'chair_30d2d3c887f9592551ae1a6e89264401_004.png']"
banktrial,chair_cluster0,chair_c0_30d2d3c887f9592551ae1a6e89264401_1,1,"['chair_30d2d3c887f9592551ae1a6e89264401_009.png', 'chair_2a8b0d30928d3161f7b783634bf3f92f_008.png', 'chair_30d2d3c887f9592551ae1a6e89264401_006.png']"
banktrial,chair_cluster0,chair_c0_30d2d3c887f9592551ae1a6e89264401_2,1,"['chair_30d2d3c887f9592551ae1a6e89264401_002.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_006.png', 'chair_30d2d3c887f9592551ae1a6e89264401_005.png']"
banktrial,chair_cluster0,chair_c0_6549c13a4c96b926f51fa0238791f5dc_0,0,"['chair_510fdcfcba1bc18ea1081ad712f6fb3_004.png', 'chair_6549c13a4c96b926f51fa0238791f5dc_005.png', 'chair_6549c13a4c96b926f51fa0238791f5dc_001.png']"
banktrial,chair_cluster0,chair_c0_6549c13a4c96b926f51fa0238791f5dc_1,0,"['chair_3269630cf8dd9e87bfd5f349b1ab226_004.png', 'chair_6549c13a4c96b926f51fa0238791f5dc_000.png', 'chair_6549c13a4c96b926f51fa0238791f5dc_011.png']"
banktrial,chair_cluster0,chair_c0_6549c13a4c96b926f51fa0238791f5dc_2,1,"['chair_6549c13a4c96b926f51fa0238791f5dc_011.png', 'chair_b2bfe0be6956fe34f51f77a6d7299806_013.png', 'chair_6549c13a4c96b926f51fa0238791f5dc_007.png']"
banktrial,chair_cluster0,chair_c0_fe31beab802cfc56c2bcda262700befe_0,2,"['chair_fe31beab802cfc56c2bcda262700befe_002.png', 'chair_fe31beab802cfc56c2bcda262700befe_012.png', 'chair_74518f7c342b49191030665054ebb2a9_013.png']"
banktrial,chair_cluster0,chair_c0_fe31beab802cfc56c2bcda262700befe_1,2,"['chair_fe31beab802cfc56c2bcda262700befe_008.png', 'chair_fe31beab802cfc56c2bcda262700befe_014.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_001.png']"
banktrial,chair_cluster0,chair_c0_fe31beab802cfc56c2bcda262700befe_2,2,"['chair_fe31beab802cfc56c2bcda262700befe_006.png', 'chair_fe31beab802cfc56c2bcda262700befe_001.png', 'chair_f1167a0c4bfc1f3fcf004563556ddb36_000.png']"
banktrial,chair_cluster0,chair_c0_2a8b0d30928d3161f7b783634bf3f92f_0,2,"['chair_2a8b0d30928d3161f7b783634bf3f92f_008.png', 'chair_2a8b0d30928d3161f7b783634bf3f92f_004.png', 'chair_19a3ac2ec0312e13c8687ff9b0b4e4ac_001.png']"
banktrial,chair_cluster0,chair_c0_2a8b0d30928d3161f7b783634bf3f92f_1,2,"['chair_2a8b0d30928d3161f7b783634bf3f92f_005.png', 'chair_2a8b0d30928d3161f7b783634bf3f92f_009.png', 'chair_b44d32061d313fc1b7a3c315f744bdd8_008.png']"
banktrial,chair_cluster0,chair_c0_2a8b0d30928d3161f7b783634bf3f92f_2,2,"['chair_2a8b0d30928d3161f7b783634bf3f92f_000.png', 'chair_2a8b0d30928d3161f7b783634bf3f92f_001.png', 'chair_19a3ac2ec0312e13c8687ff9b0b4e4ac_009.png']"
banktrial,chair_cluster0,chair_c0_a1adf14b24469f8835acfdef2ece21c0_0,1,"['chair_a1adf14b24469f8835acfdef2ece21c0_011.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_012.png', 'chair_a1adf14b24469f8835acfdef2ece21c0_007.png']"
banktrial,chair_cluster0,chair_c0_a1adf14b24469f8835acfdef2ece21c0_1,2,"['chair_a1adf14b24469f8835acfdef2ece21c0_012.png', 'chair_a1adf14b24469f8835acfdef2ece21c0_004.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_004.png']"
banktrial,chair_cluster0,chair_c0_a1adf14b24469f8835acfdef2ece21c0_2,0,"['chair_98ef942e35e90be3de8d5f2cba401802_008.png', 'chair_a1adf14b24469f8835acfdef2ece21c0_011.png', 'chair_a1adf14b24469f8835acfdef2ece21c0_006.png']"
banktrial,chair_cluster0,chair_c0_969730a19872b564fdb60f509d2616e0_0,0,"['chair_92242be674537e3df6e4c3538272fb27_014.png', 'chair_969730a19872b564fdb60f509d2616e0_014.png', 'chair_969730a19872b564fdb60f509d2616e0_003.png']"
banktrial,chair_cluster0,chair_c0_969730a19872b564fdb60f509d2616e0_1,2,"['chair_969730a19872b564fdb60f509d2616e0_004.png', 'chair_969730a19872b564fdb60f509d2616e0_007.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_013.png']"
banktrial,chair_cluster0,chair_c0_969730a19872b564fdb60f509d2616e0_2,0,"['chair_445d6cef46b853ee713decb1a0563b12_008.png', 'chair_969730a19872b564fdb60f509d2616e0_003.png', 'chair_969730a19872b564fdb60f509d2616e0_009.png']"
banktrial,chair_cluster0,chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_0,2,"['chair_8b39b501c9fa4d349b9f2eb77f5e247e_005.png', 'chair_8b39b501c9fa4d349b9f2eb77f5e247e_009.png', 'chair_52a7930e87e75591a78e44eefea09073_009.png']"
banktrial,chair_cluster0,chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_1,1,"['chair_8b39b501c9fa4d349b9f2eb77f5e247e_009.png', 'chair_e9651bd689ba5c14713decb1a0563b12_009.png', 'chair_8b39b501c9fa4d349b9f2eb77f5e247e_000.png']"
banktrial,chair_cluster0,chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_2,2,"['chair_8b39b501c9fa4d349b9f2eb77f5e247e_008.png', 'chair_8b39b501c9fa4d349b9f2eb77f5e247e_000.png', 'chair_e9c9d998f7b0de3ca6afe5903a01a59_003.png']"
banktrial,chair_cluster0,chair_c0_4428b7dc4b6696812905b6e26038a78_0,2,"['chair_4428b7dc4b6696812905b6e26038a78_010.png', 'chair_4428b7dc4b6696812905b6e26038a78_001.png', 'chair_92242be674537e3df6e4c3538272fb27_010.png']"
banktrial,chair_cluster0,chair_c0_4428b7dc4b6696812905b6e26038a78_1,2,"['chair_4428b7dc4b6696812905b6e26038a78_008.png', 'chair_4428b7dc4b6696812905b6e26038a78_004.png', 'chair_445d6cef46b853ee713decb1a0563b12_009.png']"
banktrial,chair_cluster0,chair_c0_4428b7dc4b6696812905b6e26038a78_2,2,"['chair_4428b7dc4b6696812905b6e26038a78_008.png', 'chair_4428b7dc4b6696812905b6e26038a78_005.png', 'chair_600f6f126d0b6c046dbda90cc7f3517e_014.png']"
banktrial,chair_cluster0,chair_c0_6e98c5d61e008b4c2871cc0b3cc1a485_0,0,"['chair_6a7050042fbc77d5635418e95eea8a17_010.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_002.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_005.png']"
banktrial,chair_cluster0,chair_c0_6e98c5d61e008b4c2871cc0b3cc1a485_1,2,"['chair_6e98c5d61e008b4c2871cc0b3cc1a485_002.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_004.png', 'chair_59f4a5d8390c3c3d5fce6078044eb87_006.png']"
banktrial,chair_cluster0,chair_c0_6e98c5d61e008b4c2871cc0b3cc1a485_2,0,"['chair_c0f2673cb32574014e972edcee1ee23_004.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_012.png', 'chair_6e98c5d61e008b4c2871cc0b3cc1a485_003.png']"
banktrial,chair_cluster0,chair_c0_4460e0885d82b7b5d9987a7cd00eb98d_0,1,"['chair_4460e0885d82b7b5d9987a7cd00eb98d_012.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_001.png', 'chair_4460e0885d82b7b5d9987a7cd00eb98d_003.png']"
banktrial,chair_cluster0,chair_c0_4460e0885d82b7b5d9987a7cd00eb98d_1,1,"['chair_4460e0885d82b7b5d9987a7cd00eb98d_007.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_014.png', 'chair_4460e0885d82b7b5d9987a7cd00eb98d_002.png']"
banktrial,chair_cluster0,chair_c0_4460e0885d82b7b5d9987a7cd00eb98d_2,1,"['chair_4460e0885d82b7b5d9987a7cd00eb98d_006.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_003.png', 'chair_4460e0885d82b7b5d9987a7cd00eb98d_005.png']"
banktrial,chair_cluster0,chair_c0_89d2cbab56c5a1d7297056ac457c1c31_0,0,"['chair_dbf5ea40382c5efed30107faf024a18b_004.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_009.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_001.png']"
banktrial,chair_cluster0,chair_c0_89d2cbab56c5a1d7297056ac457c1c31_1,2,"['chair_89d2cbab56c5a1d7297056ac457c1c31_009.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_007.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_006.png']"
banktrial,chair_cluster0,chair_c0_89d2cbab56c5a1d7297056ac457c1c31_2,1,"['chair_89d2cbab56c5a1d7297056ac457c1c31_005.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_002.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_002.png']"
banktrial,chair_cluster0,chair_c0_4e8d4cffee2c4361c612776a678dd571_0,1,"['chair_4e8d4cffee2c4361c612776a678dd571_011.png', 'chair_cbfa51dd6b795262774ba10f0bcc178a_000.png', 'chair_4e8d4cffee2c4361c612776a678dd571_014.png']"
banktrial,chair_cluster0,chair_c0_4e8d4cffee2c4361c612776a678dd571_1,1,"['chair_4e8d4cffee2c4361c612776a678dd571_010.png', 'chair_7715c9c229d80afaf487e71bd57b6e0c_012.png', 'chair_4e8d4cffee2c4361c612776a678dd571_002.png']"
banktrial,chair_cluster0,chair_c0_4e8d4cffee2c4361c612776a678dd571_2,2,"['chair_4e8d4cffee2c4361c612776a678dd571_012.png', 'chair_4e8d4cffee2c4361c612776a678dd571_007.png', 'chair_c0f2673cb32574014e972edcee1ee23_002.png']"
banktrial,chair_cluster0,chair_c0_3316a00869217c2632ed7dae08823495_0,1,"['chair_3316a00869217c2632ed7dae08823495_001.png', 'chair_4ae919ca418d3625d30ba6a673002f3e_014.png', 'chair_3316a00869217c2632ed7dae08823495_012.png']"
banktrial,chair_cluster0,chair_c0_3316a00869217c2632ed7dae08823495_1,2,"['chair_3316a00869217c2632ed7dae08823495_001.png', 'chair_3316a00869217c2632ed7dae08823495_002.png', 'chair_4ae919ca418d3625d30ba6a673002f3e_014.png']"
banktrial,chair_cluster0,chair_c0_3316a00869217c2632ed7dae08823495_2,0,"['chair_4ae919ca418d3625d30ba6a673002f3e_012.png', 'chair_3316a00869217c2632ed7dae08823495_011.png', 'chair_3316a00869217c2632ed7dae08823495_003.png']"
banktrial,chair_cluster0,chair_c0_3aab16309520fb21dc0a8cba62d9a78a_0,0,"['chair_9bbccaed652a88d0ad4feb1e0e9b77d9_009.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_008.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_011.png']"
banktrial,chair_cluster0,chair_c0_3aab16309520fb21dc0a8cba62d9a78a_1,0,"['chair_9bbccaed652a88d0ad4feb1e0e9b77d9_014.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_007.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_008.png']"
banktrial,chair_cluster0,chair_c0_3aab16309520fb21dc0a8cba62d9a78a_2,2,"['chair_3aab16309520fb21dc0a8cba62d9a78a_001.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_010.png', 'chair_fa277e2693cba669731d11154716a6b8_005.png']"
banktrial,chair_cluster0,chair_c0_2dc5055b8d900ec7db4b0ee93cf61ed1_0,2,"['chair_2dc5055b8d900ec7db4b0ee93cf61ed1_001.png', 'chair_2dc5055b8d900ec7db4b0ee93cf61ed1_007.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_003.png']"
banktrial,chair_cluster0,chair_c0_2dc5055b8d900ec7db4b0ee93cf61ed1_1,1,"['chair_2dc5055b8d900ec7db4b0ee93cf61ed1_003.png', 'chair_89d2cbab56c5a1d7297056ac457c1c31_007.png', 'chair_2dc5055b8d900ec7db4b0ee93cf61ed1_002.png']"
banktrial,chair_cluster0,chair_c0_2dc5055b8d900ec7db4b0ee93cf61ed1_2,1,"['chair_2dc5055b8d900ec7db4b0ee93cf61ed1_011.png', 'chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_001.png', 'chair_2dc5055b8d900ec7db4b0ee93cf61ed1_004.png']"
banktrial,chair_cluster0,chair_c0_3f60205b1eef5555a4bf007e7299d9cb_0,1,"['chair_3f60205b1eef5555a4bf007e7299d9cb_014.png', 'chair_8b39b501c9fa4d349b9f2eb77f5e247e_011.png', 'chair_3f60205b1eef5555a4bf007e7299d9cb_005.png']"
banktrial,chair_cluster0,chair_c0_3f60205b1eef5555a4bf007e7299d9cb_1,1,"['chair_3f60205b1eef5555a4bf007e7299d9cb_010.png', 'chair_fa277e2693cba669731d11154716a6b8_007.png', 'chair_3f60205b1eef5555a4bf007e7299d9cb_011.png']"
banktrial,chair_cluster0,chair_c0_3f60205b1eef5555a4bf007e7299d9cb_2,2,"['chair_3f60205b1eef5555a4bf007e7299d9cb_004.png', 'chair_3f60205b1eef5555a4bf007e7299d9cb_006.png', 'chair_2bd045838a2282ab5205884f75aba3a_007.png']"
banktrial,chair_cluster0,chair_c0_78f722590b0885a61efc6aa41666df08_0,0,"['chair_6a0bd5d9ec4567d9d42216b5daf41a39_014.png', 'chair_78f722590b0885a61efc6aa41666df08_002.png', 'chair_78f722590b0885a61efc6aa41666df08_014.png']"
banktrial,chair_cluster0,chair_c0_78f722590b0885a61efc6aa41666df08_1,1,"['chair_78f722590b0885a61efc6aa41666df08_001.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_007.png', 'chair_78f722590b0885a61efc6aa41666df08_012.png']"
banktrial,chair_cluster0,chair_c0_78f722590b0885a61efc6aa41666df08_2,1,"['chair_78f722590b0885a61efc6aa41666df08_004.png', 'chair_e12ac2c1c707b7b2f45a7a3d26bcb6ad_006.png', 'chair_78f722590b0885a61efc6aa41666df08_003.png']"
banktrial,chair_cluster0,chair_c0_5283a98b5c693e64ebefe6b1d594ad2e_0,0,"['chair_2bf69f0fa5be4c3f6ecea8cff53afe1a_005.png', 'chair_5283a98b5c693e64ebefe6b1d594ad2e_010.png', 'chair_5283a98b5c693e64ebefe6b1d594ad2e_002.png']"
banktrial,chair_cluster0,chair_c0_5283a98b5c693e64ebefe6b1d594ad2e_1,1,"['chair_5283a98b5c693e64ebefe6b1d594ad2e_000.png', 'chair_59f4a5d8390c3c3d5fce6078044eb87_005.png', 'chair_5283a98b5c693e64ebefe6b1d594ad2e_014.png']"
banktrial,chair_cluster0,chair_c0_5283a98b5c693e64ebefe6b1d594ad2e_2,1,"['chair_5283a98b5c693e64ebefe6b1d594ad2e_013.png', 'chair_2a8b0d30928d3161f7b783634bf3f92f_000.png', 'chair_5283a98b5c693e64ebefe6b1d594ad2e_012.png']"
banktrial,chair_cluster0,chair_c0_3d7ebe5de86294b3f6bcd046624c43c9_0,0,"['chair_2bd045838a2282ab5205884f75aba3a_011.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_002.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_009.png']"
banktrial,chair_cluster0,chair_c0_3d7ebe5de86294b3f6bcd046624c43c9_1,2,"['chair_3d7ebe5de86294b3f6bcd046624c43c9_002.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_006.png', 'chair_50b4851d6e067f9bdfcd57c2094a665f_014.png']"
banktrial,chair_cluster0,chair_c0_3d7ebe5de86294b3f6bcd046624c43c9_2,1,"['chair_3d7ebe5de86294b3f6bcd046624c43c9_001.png', 'chair_4460e0885d82b7b5d9987a7cd00eb98d_008.png', 'chair_3d7ebe5de86294b3f6bcd046624c43c9_004.png']"
banktrial,chair_cluster0,chair_c0_ad64210b56ed1bbf9096ff01c3d5022b_0,0,"['chair_cd238045ebff9be59186f15d520c12ad_010.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_000.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_011.png']"
banktrial,chair_cluster0,chair_c0_ad64210b56ed1bbf9096ff01c3d5022b_1,0,"['chair_cd238045ebff9be59186f15d520c12ad_010.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_004.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_002.png']"
banktrial,chair_cluster0,chair_c0_ad64210b56ed1bbf9096ff01c3d5022b_2,0,"['chair_f8c5604f39699e0fbbc2b2aef664ba29_005.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_007.png', 'chair_ad64210b56ed1bbf9096ff01c3d5022b_009.png']"
banktrial,chair_cluster0,chair_c0_ef544a816432b0a78dabc11b24766ce2_0,2,"['chair_ef544a816432b0a78dabc11b24766ce2_008.png', 'chair_ef544a816432b0a78dabc11b24766ce2_009.png', 'chair_969730a19872b564fdb60f509d2616e0_000.png']"
banktrial,chair_cluster0,chair_c0_ef544a816432b0a78dabc11b24766ce2_1,0,"['chair_79030f846b4dee0f9d709998b2d6e774_005.png', 'chair_ef544a816432b0a78dabc11b24766ce2_008.png', 'chair_ef544a816432b0a78dabc11b24766ce2_004.png']"
banktrial,chair_cluster0,chair_c0_ef544a816432b0a78dabc11b24766ce2_2,0,"['chair_e12ac2c1c707b7b2f45a7a3d26bcb6ad_009.png', 'chair_ef544a816432b0a78dabc11b24766ce2_009.png', 'chair_ef544a816432b0a78dabc11b24766ce2_013.png']"
banktrial,chair_cluster0,chair_c0_33990ef5ffde80fa83bc207d8a5912e3_0,2,"['chair_33990ef5ffde80fa83bc207d8a5912e3_002.png', 'chair_33990ef5ffde80fa83bc207d8a5912e3_006.png', 'chair_52a7930e87e75591a78e44eefea09073_012.png']"
banktrial,chair_cluster0,chair_c0_33990ef5ffde80fa83bc207d8a5912e3_1,0,"['chair_94b55dcb770626d9c8687ff9b0b4e4ac_001.png', 'chair_33990ef5ffde80fa83bc207d8a5912e3_006.png', 'chair_33990ef5ffde80fa83bc207d8a5912e3_012.png']"
banktrial,chair_cluster0,chair_c0_33990ef5ffde80fa83bc207d8a5912e3_2,0,"['chair_c50c2887ba2b5535c32fd7e88552aa9_002.png', 'chair_33990ef5ffde80fa83bc207d8a5912e3_005.png', 'chair_33990ef5ffde80fa83bc207d8a5912e3_007.png']"
banktrial,chair_cluster0,chair_c0_3269630cf8dd9e87bfd5f349b1ab226_0,1,"['chair_3269630cf8dd9e87bfd5f349b1ab226_006.png', 'chair_dee24ea8622e2005dd0e1ff930f92c75_009.png', 'chair_3269630cf8dd9e87bfd5f349b1ab226_014.png']"
